gender,orientation,gender_orientation,age,ethnicity,country,education_phase,religion_type,religion_seriosity,man_with_100,woman_with_100
Man,Straight,Hetero_male,37,White,Belgium,Graduated from,Catholicism,and laughing about it,No,No
Man,Straight,Hetero_male,33,White,Italy,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,34,White,MO,Graduated from,-,NA,Yes,Yes
Woman,Gay,Gay_female,23,White,UT,Graduated from,Agnosticism,and laughing about it,No,No
Man,Straight,Hetero_male,26,White,TX,Working on,-,NA,No,No
Man,Straight,Hetero_male,26,"Indian, White",NJ,Graduated from,Other,and very serious about it,No,No
Woman,Straight,Hetero_female,39,NA,Russia,Graduated from,Christianity,but not too serious about it,No,No
Man,Gay,Gay_male,30,White,MO,Dropped out of,Other,and very serious about it,No,No
Man,Straight,Hetero_male,27,White,NY,Graduated from,Atheism,but not too serious about it,No,No
Woman,Straight,Hetero_female,29,NA,WV,Graduated from,Other,but not too serious about it,No,No
Man,Straight,Hetero_male,44,White,MA,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,32,White,GA,Dropped out of,Atheism,and very serious about it,No,No
Man,Straight,Hetero_male,31,White,FL,Working on,Islam,but not too serious about it,Yes,Yes
Woman,Bisexual,Bisexual_female,29,Black,PA,Graduated from,Atheism,and laughing about it,No,No
Man,Straight,Hetero_male,33,White,AZ,Graduated from,Other,but not too serious about it,No,No
Man,Gay,Gay_male,47,White,MN,Working on,Christianity,but not too serious about it,No,No
Man,Straight,Hetero_male,25,White,MI,NA,Catholicism,NA,No,No
Woman,Bisexual,Bisexual_female,28,White,CA,Working on,Christianity,and laughing about it,No,No
Man,Straight,Hetero_male,42,White,UK,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,44,White,CA,Graduated from,Agnosticism,and laughing about it,No,No
Woman,Straight,Hetero_female,37,"Hispanic / Latin, White",Brazil,Graduated from,Atheism,and laughing about it,No,No
Man,Straight,Hetero_male,37,"Hispanic / Latin, White",VA,Dropped out of,Catholicism,NA,No,No
Man,Straight,Hetero_male,45,White,IL,Graduated from,Other,and very serious about it,No,No
Man,Straight,Hetero_male,34,White,AZ,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,31,White,AZ,Working on,-,NA,No,No
Man,Straight,Hetero_male,29,White,TN,Graduated from,Christianity,and somewhat serious about it,Yes,Yes
Man,Straight,Hetero_male,32,White,DC,NA,Atheism,NA,No,No
Man,Gay,Gay_male,31,White,CO,Graduated from,Christianity,NA,No,No
Woman,Straight,Hetero_female,34,White,NY,Graduated from,-,NA,No,No
Woman,Bisexual,Bisexual_female,28,White,Israel,Working on,Judaism,and laughing about it,No,No
Man,Straight,Hetero_male,30,White,OR,Graduated from,Agnosticism,NA,No,No
Woman,Bisexual,Bisexual_female,35,White,FL,Graduated from,Other,but not too serious about it,No,No
Man,Straight,Hetero_male,31,White,PA,Working on,Atheism,NA,No,No
Woman,Straight,Hetero_female,36,White,IN,Graduated from,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,33,"Native American, Hispanic / Latin",TX,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,34,NA,AZ,Graduated from,Agnosticism,NA,No,No
Man,Gay,Gay_male,40,Black,VA,Graduated from,Other,but not too serious about it,No,No
Man,Bisexual,Bisexual_male,22,White,OR,Graduated from,Agnosticism,NA,No,No
Man,Straight,Hetero_male,29,Black,MI,Working on,Agnosticism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,48,Black,CA,Graduated from,Christianity,and very serious about it,Yes,Yes
Man,Straight,Hetero_male,54,White,TX,Graduated from,Christianity,and somewhat serious about it,No,No
Man,Bisexual,Bisexual_male,34,White,OH,Working on,Other,but not too serious about it,No,No
Man,Straight,Hetero_male,35,"Native American, Hispanic / Latin, White, Other",TX,Dropped out of,Other,and laughing about it,No,No
Man,Gay,Gay_male,37,White,CO,Dropped out of,Agnosticism,and laughing about it,No,No
Man,Straight,Hetero_male,44,White,NY,Graduated from,Judaism,but not too serious about it,No,No
Man,Straight,Hetero_male,35,White,NC,Working on,Agnosticism,NA,No,No
Man,Straight,Hetero_male,28,White,OH,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,28,White,NJ,NA,Christianity,but not too serious about it,No,No
Man,Straight,Hetero_male,40,White,FL,Working on,Catholicism,but not too serious about it,No,No
Man,Straight,Hetero_male,48,Hispanic / Latin,NY,Graduated from,Atheism,NA,No,No
Woman,Bisexual,Bisexual_female,36,White,IN,Graduated from,Christianity,NA,No,No
Man,Gay,Gay_male,33,Other,NY,Graduated from,Other,and somewhat serious about it,No,No
Man,Gay,Gay_male,26,White,MI,Graduated from,Atheism,NA,No,No
Woman,Straight,Hetero_female,31,White,FL,Graduated from,Atheism,but not too serious about it,No,No
Man,Straight,Hetero_male,44,White,IL,Graduated from,Agnosticism,NA,No,No
Man,Straight,Hetero_male,35,White,ID,Graduated from,Catholicism,but not too serious about it,Yes,Yes
Man,Gay,Gay_male,25,White,UK,Graduated from,Other,but not too serious about it,No,No
Woman,Straight,Hetero_female,32,Black,CA,Graduated from,Catholicism,but not too serious about it,No,Yes
Man,Straight,Hetero_male,54,White,CA,NA,Christianity,and somewhat serious about it,No,No
Woman,Straight,Hetero_female,30,"Hispanic / Latin, White",MD,NA,-,NA,No,No
Man,Gay,Gay_male,32,Black,TX,Graduated from,Buddhism,and laughing about it,No,No
Man,Straight,Hetero_male,44,White,IL,Graduated from,Atheism,NA,Yes,Yes
Man,Straight,Hetero_male,31,White,AL,Graduated from,Other,NA,No,No
Man,Straight,Hetero_male,19,"Indian, White",IL,Graduated from,Christianity,but not too serious about it,Yes,Yes
Man,Straight,Hetero_male,45,White,OH,NA,Christianity,NA,No,No
Woman,Straight,Hetero_female,30,"Asian, Middle Eastern, Black, Native American, Indian, Pacific Islander, Hispanic / Latin, White",OR,Working on,Other,and laughing about it,No,No
Man,Straight,Hetero_male,37,White,NY,Graduated from,Other,and laughing about it,No,Yes
Man,Straight,Hetero_male,32,NA,OR,NA,Agnosticism,NA,No,No
Man,Straight,Hetero_male,27,"White, Other",NJ,Graduated from,Christianity,NA,No,No
Man,Straight,Hetero_male,54,White,UK,Graduated from,Atheism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,57,White,ID,Graduated from,Christianity,but not too serious about it,No,No
Woman,Straight,Hetero_female,26,White,OR,Graduated from,Other,and somewhat serious about it,No,Yes
Woman,Bisexual,Bisexual_female,28,White,UK,Working on,-,NA,No,No
Man,Straight,Hetero_male,38,White,NJ,Graduated from,Judaism,and laughing about it,No,No
Man,Straight,Hetero_male,65,NA,MA,Graduated from,Other,NA,No,No
Man,Straight,Hetero_male,41,White,NY,NA,Catholicism,NA,Yes,Yes
Man,Straight,Hetero_male,42,"Middle Eastern, White",CT,Dropped out of,Agnosticism,and somewhat serious about it,No,No
Woman,Bisexual,Bisexual_female,35,NA,OR,Graduated from,-,NA,No,No
Man,Gay,Gay_male,27,White,IN,Working on,Atheism,and very serious about it,No,No
